"","Country.Region","date","CumCaseNumber","IncCaseNumber"
"1","Afghanistan",2020-01-23,0,0
"2","Afghanistan",2020-01-24,0,0
"3","Afghanistan",2020-01-25,0,0
"4","Afghanistan",2020-01-26,0,0
"5","Afghanistan",2020-01-27,0,0
"6","Afghanistan",2020-01-28,0,0
"7","Afghanistan",2020-01-29,0,0
"8","Afghanistan",2020-01-30,0,0
"9","Afghanistan",2020-01-31,0,0
"10","Afghanistan",2020-02-01,0,0
"11","Afghanistan",2020-02-02,0,0
"12","Afghanistan",2020-02-03,0,0
"13","Afghanistan",2020-02-04,0,0
"14","Afghanistan",2020-02-05,0,0
"15","Afghanistan",2020-02-06,0,0
"16","Afghanistan",2020-02-07,0,0
"17","Afghanistan",2020-02-08,0,0
"18","Afghanistan",2020-02-09,0,0
"19","Afghanistan",2020-02-10,0,0
"20","Afghanistan",2020-02-11,0,0
"21","Afghanistan",2020-02-12,0,0
"22","Afghanistan",2020-02-13,0,0
"23","Afghanistan",2020-02-14,0,0
"24","Afghanistan",2020-02-15,0,0
"25","Afghanistan",2020-02-16,0,0
"26","Afghanistan",2020-02-17,0,0
"27","Afghanistan",2020-02-18,0,0
"28","Afghanistan",2020-02-19,0,0
"29","Afghanistan",2020-02-20,0,0
"30","Afghanistan",2020-02-21,0,0
"31","Afghanistan",2020-02-22,0,0
"32","Afghanistan",2020-02-23,0,0
"33","Afghanistan",2020-02-24,1,1
"34","Afghanistan",2020-02-25,1,0
"35","Afghanistan",2020-02-26,1,0
"36","Afghanistan",2020-02-27,1,0
"37","Afghanistan",2020-02-28,1,0
"38","Afghanistan",2020-02-29,1,0
"39","Afghanistan",2020-03-01,1,0
"40","Afghanistan",2020-03-02,1,0
"41","Afghanistan",2020-03-03,1,0
"42","Afghanistan",2020-03-04,1,0
"43","Afghanistan",2020-03-05,1,0
"44","Afghanistan",2020-03-06,1,0
"45","Afghanistan",2020-03-07,1,0
"46","Afghanistan",2020-03-08,4,3
"47","Afghanistan",2020-03-09,4,0
"48","Afghanistan",2020-03-10,5,1
"49","Afghanistan",2020-03-11,7,2
"50","Afghanistan",2020-03-12,7,0
"51","Afghanistan",2020-03-13,7,0
"52","Afghanistan",2020-03-14,11,4
"53","Afghanistan",2020-03-15,16,5
"54","Afghanistan",2020-03-16,21,5
"55","Afghanistan",2020-03-17,22,1
"56","Afghanistan",2020-03-18,22,0
"57","Afghanistan",2020-03-19,22,0
"58","Afghanistan",2020-03-20,24,2
"59","Afghanistan",2020-03-21,24,0
"60","Afghanistan",2020-03-22,40,16
"61","Afghanistan",2020-03-23,40,0
"62","Afghanistan",2020-03-24,74,34
"63","Afghanistan",2020-03-25,84,10
"64","Afghanistan",2020-03-26,94,10
"65","Afghanistan",2020-03-27,110,16
"66","Afghanistan",2020-03-28,110,0
"67","Afghanistan",2020-03-29,120,10
"68","Afghanistan",2020-03-30,170,50
"69","Afghanistan",2020-03-31,174,4
"70","Afghanistan",2020-04-01,237,63
"71","Afghanistan",2020-04-02,273,36
"72","Afghanistan",2020-04-03,281,8
"73","Afghanistan",2020-04-04,299,18
"74","Afghanistan",2020-04-05,349,50
"75","Afghanistan",2020-04-06,367,18
"76","Afghanistan",2020-04-07,423,56
"77","Afghanistan",2020-04-08,444,21
"78","Afghanistan",2020-04-09,484,40
"79","Afghanistan",2020-04-10,521,37
"80","Afghanistan",2020-04-11,555,34
"81","Afghanistan",2020-04-12,607,52
"82","Afghanistan",2020-04-13,665,58
"83","Afghanistan",2020-04-14,714,49
"84","Afghanistan",2020-04-15,784,70
"85","Afghanistan",2020-04-16,840,56
"86","Afghanistan",2020-04-17,906,66
"87","Afghanistan",2020-04-18,933,27
"88","Afghanistan",2020-04-19,996,63
"89","Afghanistan",2020-04-20,1026,30
"90","Afghanistan",2020-04-21,1092,66
"91","Afghanistan",2020-04-22,1176,84
"92","Afghanistan",2020-04-23,1279,103
"93","Afghanistan",2020-04-24,1351,72
"94","Afghanistan",2020-04-25,1463,112
"95","Afghanistan",2020-04-26,1531,68
"96","Afghanistan",2020-04-27,1703,172
"97","Afghanistan",2020-04-28,1828,125
"98","Afghanistan",2020-04-29,1939,111
"99","Afghanistan",2020-04-30,2171,232
"100","Afghanistan",2020-05-01,2335,164
"101","Afghanistan",2020-05-02,2469,134
"102","Afghanistan",2020-05-03,2704,235
"103","Afghanistan",2020-05-04,2894,190
"104","Afghanistan",2020-05-05,3224,330
"105","Afghanistan",2020-05-06,3392,168
"106","Afghanistan",2020-05-07,3563,171
"107","Afghanistan",2020-05-08,3778,215
"108","Afghanistan",2020-05-09,4033,255
"109","Afghanistan",2020-05-10,4402,369
"110","Afghanistan",2020-05-11,4687,285
"111","Afghanistan",2020-05-12,4963,276
"112","Afghanistan",2020-05-13,5226,263
"113","Afghanistan",2020-05-14,5639,413
"114","Afghanistan",2020-05-15,6053,414
"115","Afghanistan",2020-05-16,6402,349
