"","geo","date","hits","time","keyword","gprop","category","Country.Region"
"1","BE",2020-01-08,0,"today 3-m","coronavirus","web",0,"Belgium"
"2","BE",2020-01-09,0,"today 3-m","coronavirus","web",0,"Belgium"
"3","BE",2020-01-10,0,"today 3-m","coronavirus","web",0,"Belgium"
"4","BE",2020-01-11,0,"today 3-m","coronavirus","web",0,"Belgium"
"5","BE",2020-01-12,0,"today 3-m","coronavirus","web",0,"Belgium"
"6","BE",2020-01-13,0,"today 3-m","coronavirus","web",0,"Belgium"
"7","BE",2020-01-14,0,"today 3-m","coronavirus","web",0,"Belgium"
"8","BE",2020-01-15,0,"today 3-m","coronavirus","web",0,"Belgium"
"9","BE",2020-01-16,0,"today 3-m","coronavirus","web",0,"Belgium"
"10","BE",2020-01-17,0,"today 3-m","coronavirus","web",0,"Belgium"
"11","BE",2020-01-18,0,"today 3-m","coronavirus","web",0,"Belgium"
"12","BE",2020-01-19,0,"today 3-m","coronavirus","web",0,"Belgium"
"13","BE",2020-01-20,0,"today 3-m","coronavirus","web",0,"Belgium"
"14","BE",2020-01-21,1,"today 3-m","coronavirus","web",0,"Belgium"
"15","BE",2020-01-22,2,"today 3-m","coronavirus","web",0,"Belgium"
"16","BE",2020-01-23,3,"today 3-m","coronavirus","web",0,"Belgium"
"17","BE",2020-01-24,10,"today 3-m","coronavirus","web",0,"Belgium"
"18","BE",2020-01-25,15,"today 3-m","coronavirus","web",0,"Belgium"
"19","BE",2020-01-26,8,"today 3-m","coronavirus","web",0,"Belgium"
"20","BE",2020-01-27,8,"today 3-m","coronavirus","web",0,"Belgium"
"21","BE",2020-01-28,8,"today 3-m","coronavirus","web",0,"Belgium"
"22","BE",2020-01-29,7,"today 3-m","coronavirus","web",0,"Belgium"
"23","BE",2020-01-30,9,"today 3-m","coronavirus","web",0,"Belgium"
"24","BE",2020-01-31,9,"today 3-m","coronavirus","web",0,"Belgium"
"25","BE",2020-02-01,5,"today 3-m","coronavirus","web",0,"Belgium"
"26","BE",2020-02-02,6,"today 3-m","coronavirus","web",0,"Belgium"
"27","BE",2020-02-03,5,"today 3-m","coronavirus","web",0,"Belgium"
"28","BE",2020-02-04,8,"today 3-m","coronavirus","web",0,"Belgium"
"29","BE",2020-02-05,6,"today 3-m","coronavirus","web",0,"Belgium"
"30","BE",2020-02-06,5,"today 3-m","coronavirus","web",0,"Belgium"
"31","BE",2020-02-07,5,"today 3-m","coronavirus","web",0,"Belgium"
"32","BE",2020-02-08,3,"today 3-m","coronavirus","web",0,"Belgium"
"33","BE",2020-02-09,4,"today 3-m","coronavirus","web",0,"Belgium"
"34","BE",2020-02-10,4,"today 3-m","coronavirus","web",0,"Belgium"
"35","BE",2020-02-11,4,"today 3-m","coronavirus","web",0,"Belgium"
"36","BE",2020-02-12,3,"today 3-m","coronavirus","web",0,"Belgium"
"37","BE",2020-02-13,4,"today 3-m","coronavirus","web",0,"Belgium"
"38","BE",2020-02-14,3,"today 3-m","coronavirus","web",0,"Belgium"
"39","BE",2020-02-15,4,"today 3-m","coronavirus","web",0,"Belgium"
"40","BE",2020-02-16,3,"today 3-m","coronavirus","web",0,"Belgium"
"41","BE",2020-02-17,3,"today 3-m","coronavirus","web",0,"Belgium"
"42","BE",2020-02-18,2,"today 3-m","coronavirus","web",0,"Belgium"
"43","BE",2020-02-19,2,"today 3-m","coronavirus","web",0,"Belgium"
"44","BE",2020-02-20,2,"today 3-m","coronavirus","web",0,"Belgium"
"45","BE",2020-02-21,2,"today 3-m","coronavirus","web",0,"Belgium"
"46","BE",2020-02-22,5,"today 3-m","coronavirus","web",0,"Belgium"
"47","BE",2020-02-23,11,"today 3-m","coronavirus","web",0,"Belgium"
"48","BE",2020-02-24,16,"today 3-m","coronavirus","web",0,"Belgium"
"49","BE",2020-02-25,21,"today 3-m","coronavirus","web",0,"Belgium"
"50","BE",2020-02-26,21,"today 3-m","coronavirus","web",0,"Belgium"
"51","BE",2020-02-27,19,"today 3-m","coronavirus","web",0,"Belgium"
"52","BE",2020-02-28,23,"today 3-m","coronavirus","web",0,"Belgium"
"53","BE",2020-02-29,21,"today 3-m","coronavirus","web",0,"Belgium"
"54","BE",2020-03-01,31,"today 3-m","coronavirus","web",0,"Belgium"
"55","BE",2020-03-02,36,"today 3-m","coronavirus","web",0,"Belgium"
"56","BE",2020-03-03,32,"today 3-m","coronavirus","web",0,"Belgium"
"57","BE",2020-03-04,31,"today 3-m","coronavirus","web",0,"Belgium"
"58","BE",2020-03-05,35,"today 3-m","coronavirus","web",0,"Belgium"
"59","BE",2020-03-06,33,"today 3-m","coronavirus","web",0,"Belgium"
"60","BE",2020-03-07,31,"today 3-m","coronavirus","web",0,"Belgium"
"61","BE",2020-03-08,34,"today 3-m","coronavirus","web",0,"Belgium"
"62","BE",2020-03-09,36,"today 3-m","coronavirus","web",0,"Belgium"
"63","BE",2020-03-10,44,"today 3-m","coronavirus","web",0,"Belgium"
"64","BE",2020-03-11,54,"today 3-m","coronavirus","web",0,"Belgium"
"65","BE",2020-03-12,100,"today 3-m","coronavirus","web",0,"Belgium"
"66","BE",2020-03-13,89,"today 3-m","coronavirus","web",0,"Belgium"
"67","BE",2020-03-14,78,"today 3-m","coronavirus","web",0,"Belgium"
"68","BE",2020-03-15,83,"today 3-m","coronavirus","web",0,"Belgium"
