"","geo","date","hits","keyword","time","gprop","category","Country.Region"
"1","BE",2020-04-27,100,"coronavirus","today 3-m","web",0,"Belgium"
"2","BE",2020-04-28,98,"coronavirus","today 3-m","web",0,"Belgium"
"3","BE",2020-04-29,91,"coronavirus","today 3-m","web",0,"Belgium"
"4","BE",2020-04-30,77,"coronavirus","today 3-m","web",0,"Belgium"
"5","BE",2020-05-01,87,"coronavirus","today 3-m","web",0,"Belgium"
"6","BE",2020-05-02,93,"coronavirus","today 3-m","web",0,"Belgium"
"7","BE",2020-05-03,98,"coronavirus","today 3-m","web",0,"Belgium"
"8","BE",2020-05-04,89,"coronavirus","today 3-m","web",0,"Belgium"
"9","BE",2020-05-05,85,"coronavirus","today 3-m","web",0,"Belgium"
"10","BE",2020-05-06,95,"coronavirus","today 3-m","web",0,"Belgium"
"11","BE",2020-05-07,79,"coronavirus","today 3-m","web",0,"Belgium"
"12","BE",2020-05-08,85,"coronavirus","today 3-m","web",0,"Belgium"
"13","BE",2020-05-09,81,"coronavirus","today 3-m","web",0,"Belgium"
"14","BE",2020-05-10,75,"coronavirus","today 3-m","web",0,"Belgium"
"15","BE",2020-05-11,71,"coronavirus","today 3-m","web",0,"Belgium"
"16","BE",2020-05-12,72,"coronavirus","today 3-m","web",0,"Belgium"
"17","BE",2020-05-13,80,"coronavirus","today 3-m","web",0,"Belgium"
"18","BE",2020-05-14,68,"coronavirus","today 3-m","web",0,"Belgium"
"19","BE",2020-05-15,71,"coronavirus","today 3-m","web",0,"Belgium"
"20","BE",2020-05-16,71,"coronavirus","today 3-m","web",0,"Belgium"
"21","BE",2020-05-17,74,"coronavirus","today 3-m","web",0,"Belgium"
"22","BE",2020-05-18,69,"coronavirus","today 3-m","web",0,"Belgium"
"23","BE",2020-05-19,58,"coronavirus","today 3-m","web",0,"Belgium"
"24","BE",2020-05-20,54,"coronavirus","today 3-m","web",0,"Belgium"
"25","BE",2020-05-21,61,"coronavirus","today 3-m","web",0,"Belgium"
"26","BE",2020-05-22,60,"coronavirus","today 3-m","web",0,"Belgium"
"27","BE",2020-05-23,54,"coronavirus","today 3-m","web",0,"Belgium"
"28","BE",2020-05-24,55,"coronavirus","today 3-m","web",0,"Belgium"
"29","BE",2020-05-25,48,"coronavirus","today 3-m","web",0,"Belgium"
"30","BE",2020-05-26,57,"coronavirus","today 3-m","web",0,"Belgium"
"31","BE",2020-05-27,52,"coronavirus","today 3-m","web",0,"Belgium"
"32","BE",2020-05-28,58,"coronavirus","today 3-m","web",0,"Belgium"
"33","BE",2020-05-29,50,"coronavirus","today 3-m","web",0,"Belgium"
"34","BE",2020-05-30,51,"coronavirus","today 3-m","web",0,"Belgium"
"35","BE",2020-05-31,52,"coronavirus","today 3-m","web",0,"Belgium"
"36","BE",2020-06-01,48,"coronavirus","today 3-m","web",0,"Belgium"
"37","BE",2020-06-02,48,"coronavirus","today 3-m","web",0,"Belgium"
"38","BE",2020-06-03,55,"coronavirus","today 3-m","web",0,"Belgium"
"39","BE",2020-06-04,43,"coronavirus","today 3-m","web",0,"Belgium"
"40","BE",2020-06-05,42,"coronavirus","today 3-m","web",0,"Belgium"
"41","BE",2020-06-06,44,"coronavirus","today 3-m","web",0,"Belgium"
"42","BE",2020-06-07,43,"coronavirus","today 3-m","web",0,"Belgium"
"43","BE",2020-06-08,38,"coronavirus","today 3-m","web",0,"Belgium"
"44","BE",2020-06-09,40,"coronavirus","today 3-m","web",0,"Belgium"
"45","BE",2020-06-10,41,"coronavirus","today 3-m","web",0,"Belgium"
"46","BE",2020-06-11,43,"coronavirus","today 3-m","web",0,"Belgium"
"47","BE",2020-06-12,36,"coronavirus","today 3-m","web",0,"Belgium"
"48","BE",2020-06-13,39,"coronavirus","today 3-m","web",0,"Belgium"
"49","BE",2020-06-14,44,"coronavirus","today 3-m","web",0,"Belgium"
"50","BE",2020-06-15,36,"coronavirus","today 3-m","web",0,"Belgium"
"51","BE",2020-06-16,37,"coronavirus","today 3-m","web",0,"Belgium"
"52","BE",2020-06-17,38,"coronavirus","today 3-m","web",0,"Belgium"
"53","BE",2020-06-18,42,"coronavirus","today 3-m","web",0,"Belgium"
"54","BE",2020-06-19,37,"coronavirus","today 3-m","web",0,"Belgium"
"55","BE",2020-06-20,38,"coronavirus","today 3-m","web",0,"Belgium"
"56","BE",2020-06-21,47,"coronavirus","today 3-m","web",0,"Belgium"
"57","BE",2020-06-22,42,"coronavirus","today 3-m","web",0,"Belgium"
"58","BE",2020-06-23,46,"coronavirus","today 3-m","web",0,"Belgium"
"59","BE",2020-06-24,39,"coronavirus","today 3-m","web",0,"Belgium"
"60","BE",2020-06-25,33,"coronavirus","today 3-m","web",0,"Belgium"
"61","BE",2020-06-26,33,"coronavirus","today 3-m","web",0,"Belgium"
"62","BE",2020-06-27,35,"coronavirus","today 3-m","web",0,"Belgium"
"63","BE",2020-06-28,36,"coronavirus","today 3-m","web",0,"Belgium"
"64","BE",2020-06-29,33,"coronavirus","today 3-m","web",0,"Belgium"
"65","BE",2020-06-30,35,"coronavirus","today 3-m","web",0,"Belgium"
"66","BE",2020-07-01,35,"coronavirus","today 3-m","web",0,"Belgium"
"67","BE",2020-07-02,32,"coronavirus","today 3-m","web",0,"Belgium"
"68","BE",2020-07-03,31,"coronavirus","today 3-m","web",0,"Belgium"
"69","BE",2020-07-04,31,"coronavirus","today 3-m","web",0,"Belgium"
"70","BE",2020-07-05,37,"coronavirus","today 3-m","web",0,"Belgium"
"71","BE",2020-07-06,36,"coronavirus","today 3-m","web",0,"Belgium"
"72","BE",2020-07-07,38,"coronavirus","today 3-m","web",0,"Belgium"
"73","BE",2020-07-08,42,"coronavirus","today 3-m","web",0,"Belgium"
"74","BE",2020-07-09,44,"coronavirus","today 3-m","web",0,"Belgium"
"75","BE",2020-07-10,44,"coronavirus","today 3-m","web",0,"Belgium"
"76","BE",2020-07-11,39,"coronavirus","today 3-m","web",0,"Belgium"
"77","BE",2020-07-12,41,"coronavirus","today 3-m","web",0,"Belgium"
"78","BE",2020-07-13,44,"coronavirus","today 3-m","web",0,"Belgium"
"79","BE",2020-07-14,39,"coronavirus","today 3-m","web",0,"Belgium"
"80","BE",2020-07-15,40,"coronavirus","today 3-m","web",0,"Belgium"
"81","BE",2020-07-16,43,"coronavirus","today 3-m","web",0,"Belgium"
"82","BE",2020-07-17,52,"coronavirus","today 3-m","web",0,"Belgium"
"83","BE",2020-07-18,59,"coronavirus","today 3-m","web",0,"Belgium"
"84","BE",2020-07-19,62,"coronavirus","today 3-m","web",0,"Belgium"
"85","BE",2020-07-20,52,"coronavirus","today 3-m","web",0,"Belgium"
"86","BE",2020-07-21,44,"coronavirus","today 3-m","web",0,"Belgium"
"87","BE",2020-07-22,54,"coronavirus","today 3-m","web",0,"Belgium"
"88","BE",2020-07-23,64,"coronavirus","today 3-m","web",0,"Belgium"
"89","BE",2020-07-24,58,"coronavirus","today 3-m","web",0,"Belgium"
"90","BE",2020-07-25,63,"coronavirus","today 3-m","web",0,"Belgium"
"91","CH",2020-04-27,81,"coronavirus","today 3-m","web",0,"Switzerland"
"92","CH",2020-04-28,75,"coronavirus","today 3-m","web",0,"Switzerland"
"93","CH",2020-04-29,100,"coronavirus","today 3-m","web",0,"Switzerland"
"94","CH",2020-04-30,68,"coronavirus","today 3-m","web",0,"Switzerland"
"95","CH",2020-05-01,78,"coronavirus","today 3-m","web",0,"Switzerland"
"96","CH",2020-05-02,83,"coronavirus","today 3-m","web",0,"Switzerland"
"97","CH",2020-05-03,83,"coronavirus","today 3-m","web",0,"Switzerland"
"98","CH",2020-05-04,73,"coronavirus","today 3-m","web",0,"Switzerland"
"99","CH",2020-05-05,73,"coronavirus","today 3-m","web",0,"Switzerland"
"100","CH",2020-05-06,71,"coronavirus","today 3-m","web",0,"Switzerland"
"101","CH",2020-05-07,67,"coronavirus","today 3-m","web",0,"Switzerland"
"102","CH",2020-05-08,73,"coronavirus","today 3-m","web",0,"Switzerland"
"103","CH",2020-05-09,73,"coronavirus","today 3-m","web",0,"Switzerland"
